airportTicker,cityName,countryName,continentName
NRT,Narita-Tokyo,Japan,Asia
PEK,Peking,China,Asia
CTU,Chengdu,China,Asia
PVG,Shanghai,China,Asia
SIN,Singapore,Singapore,Asia
HKG,Hong Kong,China,Asia
BKK,Bangkok,Thailand,Asia
TPE,Taipei,Taiwan,Asia
HAN,Hanoi,Vietnam,Asia
HND,Haneda,Japan,Asia
ICN,Incheon,Korea,Asia
SGN,Saigon,Vietnam,Asia
CDG,Paris,France,Europe
LHR,London-Heathrow,United Kingdom,Europe
BCN,Barcelona,Spain,Europe
FRA,Frankfurt,Germany,Europe
BRU,Brussels,Belgium,Europe
LGW,London-Gatwick,United Kingdom,Europe
AMS,Amsterdam,Netherlands,Europe
